Date,Open,High,Low,Close,Volume,High-low,Open-close
16-10-2017,426,437.95,426,436.55,525906,11.95,-10.55
17-10-2017,437.4,437.4,430.75,432,291426,6.65,5.4
18-10-2017,434,437.6,427.3,433.55,297257,10.3,0.45
19-10-2017,433.45,433.45,424.05,427.25,143416,9.4,6.2
23-10-2017,428.2,430.75,420.95,422.3,279220,9.8,5.9
24-10-2017,422,428.8,415,415.8,449579,13.8,6.2
25-10-2017,420,424.25,415.4,422,265084,8.85,-2
26-10-2017,420.55,422.25,417.5,419.35,247939,4.75,1.2
27-10-2017,421,434,421,430.05,472018,13,-9.05
30-10-2017,430,439.9,428.75,435.8,443873,11.15,-5.8
31-10-2017,437.15,438.5,427.15,428.55,537759,11.35,8.6
01-11-2017,430.05,439.8,428.8,436.75,418931,11,-6.7
02-11-2017,436.7,440.3,430,434.8,393648,10.3,1.9
03-11-2017,435.1,448.5,432.9,446.9,625153,15.6,-11.8
06-11-2017,448.05,466.95,443.65,461.55,1122495,23.3,-13.5
07-11-2017,458,465.8,447,451.9,692700,18.8,6.1
08-11-2017,451,455.5,431.5,438.7,790340,24,12.3
09-11-2017,443.5,451.25,426,440.3,3182360,25.25,3.2
10-11-2017,440.85,440.85,420.15,422.65,2415046,20.7,18.2
13-11-2017,427,428,416.1,418.2,724312,11.9,8.8
14-11-2017,419.7,422,411.25,414.55,516824,10.75,5.15
15-11-2017,413.95,417.55,407,408.6,732963,10.55,5.35
16-11-2017,410.1,415.8,410.1,413.5,450604,5.7,-3.4
17-11-2017,418.2,423,417.05,421.45,498829,5.95,-3.25
20-11-2017,421.55,425.35,420.3,422.4,350660,5.05,-0.85
21-11-2017,425.4,429.9,422.7,424.25,765624,7.2,1.15
22-11-2017,424.4,432.95,424.4,428.25,775302,8.55,-3.85
23-11-2017,428.9,430.85,422.85,426.1,332187,8,2.8
24-11-2017,426,429.8,424.05,424.95,336043,5.75,1.05
27-11-2017,422.2,424.9,418,421.15,389757,6.9,1.05
28-11-2017,418.2,422,414.8,415.95,365354,7.2,2.25
29-11-2017,415.95,419.55,412.1,414.25,293079,7.45,1.7
30-11-2017,411.1,412,402.95,404.65,677811,9.05,6.45
01-12-2017,409.1,410.5,396.75,399.15,803276,13.75,9.95
04-12-2017,408,411,402,403.4,577311,9,4.6
05-12-2017,404,405.9,396.8,402.35,638608,9.1,1.65
06-12-2017,402,402.7,395,396.8,417344,7.7,5.2
07-12-2017,403,405.3,397.2,402.15,593359,8.1,0.85
08-12-2017,406.75,413.7,406.5,411.05,2497430,7.2,-4.3
11-12-2017,412,415.35,409.3,410.2,368376,6.05,1.8
